"V1","V2","V3","V4"
"Miguel","Miguel","TMSDG","TMSDG"
"22","22","11","11"
"parametric","np.sign","parametric","np.sign"
"0.13 [-0.01, 0.28]","0.13 [-0.01, 0.28]","0.08 [-0.15, 0.31]","0.08 [-0.15, 0.31]"
"0.28 [0.13, 0.38]","0.28 [0.13, 0.38]","0.35 [0.00, 0.51]","0.35 [0.00, 0.51]"
"68 [49, 87]","77 [55, 92]","59 [33, 85]","60 [26, 90]"
"54 [34, 75]","48 [26, 71]","48 [21, 74]","35 [11, 68]"
"40 [20, 61]","27 [11, 49]","36 [11, 62]","21 [4, 52]"
"10 [0, 37]","12 [3, 30]","11 [0, 48]","9 [0, 36]"
"21 [3, 38]","15 [4, 34]","30 [5, 55]","22 [4, 51]"
"12 [0, 27]","12 [3, 29]","21 [0, 44]","16 [2, 44]"
